team,day,calls,broadband,mobile,tv,regrades,hh_orders,hh_value
Glen Team,26,140,21,26,7,3,15,472.76
Harper Team,26,144,18,21,4,1,12,342.44
Alex Team,27,109,24,9,8,7,10,361.93
Blair Team,27,16,2,1,1,2,0,0.0
Casey Team,27,191,33,24,10,8,17,547.82
Dana Team,27,13,4,3,0,1,1,27.98
Ellis Team,27,129,29,23,9,4,15,501.74
Finlay Team,27,177,27,30,10,2,19,553.53
Glen Team,27,160,30,23,7,7,17,604.48
Harper Team,27,141,23,30,11,1,13,411.5
Alex Team,28,172,23,27,14,4,18,656.26
Blair Team,28,307,45,52,20,12,29,1043.56
Casey Team,28,199,22,34,17,4,22,628.12
Dana Team,28,146,21,27,10,2,14,463.5
Ellis Team,28,28,5,8,1,3,3,99.88
Finlay Team,28,189,35,28,12,7,22,615.17
Glen Team,28,193,23,31,10,5,18,568.96
Harper Team,28,168,28,29,9,3,18,632.33
